id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,log_price
29420244,Cozy place,71164216,Ezra,Manhattan,Harlem,40.8063,-73.94484,Private room,70,2,13,2019-06-30,1.49,1,361,4.248495242049359
33661269,"Comfort room in Downtown NY, Two Bridges,Chinatown",253552326,Grace,Manhattan,Chinatown,40.71304,-73.99484,Private room,90,1,13,2019-06-11,4.43,4,164,4.499809670330265
12899112,BR in large 2BR.,70651602,Aj,Manhattan,East Harlem,40.78576,-73.94211,Private room,50,1,4,2016-05-16,0.1,1,0,3.912023005428146
36446437,Midtown bedroom in Manhattan,867516,Grace,Manhattan,Murray Hill,40.74757,-73.98118,Private room,200,1,0,NA,NA,1,34,5.298317366548036
23629364,BEST value in Midtown! 1-bdrm luxury condo.,133288905,Cherie,Manhattan,Midtown,40.75321,-73.97132,Entire home/apt,190,3,12,2019-04-22,0.86,3,6,5.247024072160486
10291127,Doorman XL one bedroom!5109,16098958,Jeremy & Laura,Manhattan,Midtown,40.75295,-73.98889,Entire home/apt,160,30,4,2019-03-04,0.12,96,365,5.075173815233827
9529607,Soho/Little Italy Privat Room for 2,43333475,Jp,Manhattan,Nolita,40.72132,-73.99708,Private room,150,1,3,2019-04-02,0.9,1,178,5.0106352940962555
30512304,Quiet and safe one bedroom in Upper Manhattan,228980689,Mark,Manhattan,Washington Heights,40.85502,-73.92763,Entire home/apt,150,5,9,2019-07-01,1.27,1,286,5.0106352940962555
30907262,Spacious One-bedroom Home in Columbia U,215116298,冉阳,Manhattan,Morningside Heights,40.80449,-73.96426,Entire home/apt,80,14,0,NA,NA,1,0,4.382026634673881
28336933,West Village 5 BR Townhouse & Private Yard,126830432,Andrea,Manhattan,West Village,40.73151,-74.00528,Entire home/apt,1500,4,17,2019-06-27,1.86,1,32,7.313220387090301
17482187,Minimalist Room with a Spectacular view,7275333,Maria,Manhattan,Kips Bay,40.73695,-73.97336,Private room,130,2,37,2019-06-02,1.39,1,33,4.867534450455582
3602534,Gorgeous Room in Historic Townhouse,18150845,Sara,Manhattan,Washington Heights,40.83473,-73.93982,Private room,140,6,61,2019-05-17,1.17,1,257,4.941642422609304
18358279,Luxury 2 Bedroom Apartment!!,44852596,Luna,Manhattan,Financial District,40.70468,-74.00722,Entire home/apt,130,3,19,2019-07-01,0.72,1,244,4.867534450455582
15126304,Cozy studio,10209118,Emre,Manhattan,Upper East Side,40.77336,-73.95054,Entire home/apt,100,3,0,NA,NA,1,0,4.605170185988092
27369583,Airy 1BR in Midtown East by Sonder,12243051,Sonder,Manhattan,Kips Bay,40.74295,-73.97177,Entire home/apt,190,29,0,NA,NA,96,323,5.247024072160486
20285257,Sunny One Bedroom,20279155,Alec,Manhattan,Chinatown,40.7134,-73.99069,Entire home/apt,150,1,0,NA,NA,1,0,5.0106352940962555
32241284,Sonder | Stock Exchange | Lovely 1BR + Laundry,219517861,Sonder (NYC),Manhattan,Financial District,40.70582,-74.01111,Entire home/apt,250,2,9,2019-06-23,2.48,327,284,5.521460917862246
2536005,Bright Room in Battery Park!,9426702,KayCee,Manhattan,Battery Park City,40.70657,-74.01676,Private room,90,2,26,2017-07-27,0.44,1,0,4.499809670330265
33745608,Greenwich/West Village Sunny real one bedroom apt!,880797,Adrienne,Manhattan,West Village,40.73131,-74.00619,Entire home/apt,150,3,3,2019-05-20,1.14,1,19,5.0106352940962555
9248558,1 Queen Bed,48059119,Wolcott,Manhattan,Midtown,40.74784,-73.9862,Private room,160,1,0,NA,NA,3,365,5.075173815233827
28049316,CUTE APARTMENT WALKING DISTANCE TO NYC BEST SPOTS,176290998,Leah,Manhattan,Hell's Kitchen,40.75622,-73.99405,Private room,100,1,12,2019-05-06,1.19,1,89,4.605170185988092
18683879,Spacious studio in midtown Manhattan,120762452,Stanley,Manhattan,Murray Hill,40.74954,-73.97687,Entire home/apt,150,30,3,2019-02-02,0.2,50,180,5.0106352940962555
8222742,Lovely nest in Greenwich Village,22529847,Sam And Roxanna,Manhattan,Greenwich Village,40.72853,-73.99914,Entire home/apt,200,2,146,2019-06-20,3.13,1,264,5.298317366548036
35371114,August 25-28 Manhatten! Total suite sleeps 4 or 5.,96019,Ruth,Manhattan,Midtown,40.76527,-73.98139,Private room,300,3,0,NA,NA,1,3,5.703782474656201
10788568,Houston St. 1 BDRM East Village/LES,55823684,Timothy,Manhattan,East Village,40.72381,-73.9892,Entire home/apt,150,1,0,NA,NA,1,0,5.0106352940962555
27217390,1 BEDROOM ON UES-DOORMAN/WASHER/DRYER,200380610,Pranjal,Manhattan,Upper East Side,40.77834,-73.95193,Entire home/apt,210,30,0,NA,NA,65,364,5.3471075307174685
30705522,Great East Village/Alphabet City Apt!,21010752,Zach,Manhattan,East Village,40.72185,-73.98237,Private room,50,4,2,2019-01-26,0.35,2,0,3.912023005428146
1196791,Creative Hub in Upper Manhattan,4324767,Caits & Taf,Manhattan,Washington Heights,40.83448,-73.94476,Private room,90,1,33,2016-05-09,0.48,1,189,4.499809670330265
22683699,Large 1 bdr apartment. 20 mins to Times square,42082112,Tatiana,Manhattan,Harlem,40.82779,-73.94716,Entire home/apt,100,4,34,2019-05-30,2.03,1,56,4.605170185988092
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,2019-05-18,0.17,1,301,4.700480365792417
4738946,"Amazing, classy, safe & convenient!",15821855,Tessa,Manhattan,Morningside Heights,40.81615,-73.95921,Private room,60,1,1,2015-09-14,0.02,1,0,4.0943445622221
19456350,"Bright, Spacious Penthouse Near Park",126144914,Miles,Manhattan,Upper West Side,40.7789,-73.98527,Entire home/apt,250,10,5,2018-08-07,0.21,1,0,5.521460917862246
5207973,Bright 2BD in East Village,26942242,Alfred,Manhattan,East Village,40.7295,-73.98623,Entire home/apt,230,2,1,2015-03-31,0.02,1,0,5.438079308923196
18092438,LOCATION! Coffee and Central Park!,17428203,Christine,Manhattan,Upper East Side,40.77241,-73.948,Entire home/apt,120,31,0,NA,NA,2,0,4.787491742782046
26552951,Sonder | 21 Chelsea | Serene 1BR + Rooftop,12243051,Sonder,Manhattan,Chelsea,40.74259,-73.99589,Entire home/apt,250,29,0,NA,NA,96,230,5.521460917862246
23610064,Private room w/memory foam QUEEN bed SUNNY space,130858402,Sam,Manhattan,East Village,40.72909,-73.98986,Private room,100,1,78,2019-07-02,4.79,1,5,4.605170185988092
3751048,GREAT ONE BED! ELEVATOR/LAUNDRY,1475015,Mike,Manhattan,Upper East Side,40.77175,-73.95742,Entire home/apt,100,30,10,2018-11-10,0.22,52,336,4.605170185988092
24039926,very cozy private bedroom within a 2 bedroom flat,180945232,Dan (Leo),Manhattan,Hell's Kitchen,40.75605,-73.99541,Private room,90,3,9,2019-06-19,0.58,1,32,4.499809670330265
25464685,Clean Over Night Bed By Times Square Manhattan,187975743,R.Henry,Manhattan,Hell's Kitchen,40.76464,-73.99006,Shared room,70,1,52,2019-07-01,3.86,8,205,4.248495242049359
12885921,"Sixth Ave Chelsea, 1bd Serviced Apartment",22541573,Ken,Manhattan,Chelsea,40.74472,-73.99266,Entire home/apt,280,30,3,2019-03-03,0.1,87,364,5.634789603169249
24035864,Warm and Friendly Near Broadway and 96th,20154516,David,Manhattan,Upper West Side,40.79566,-73.96859,Private room,100,6,22,2018-08-24,1.47,1,0,4.605170185988092
31803533,Beautiful Luxury Studio w/Exceptional Water View,147351617,Cem,Manhattan,Battery Park City,40.71085,-74.01801,Entire home/apt,200,2,17,2019-06-30,3.05,1,79,5.298317366548036
36379995,**Bright Luxury Apt in Financial District+Balcony,90870599,Claris,Manhattan,Financial District,40.70822,-74.01418,Entire home/apt,220,4,0,NA,NA,1,79,5.393627546352362
36453952,West Village Studio on quiet cobblestone street,115491896,Will,Manhattan,West Village,40.7362,-74.00827,Entire home/apt,200,1,0,NA,NA,1,365,5.298317366548036
6990524,3BR Gramercy Apt in heart of NYC,36650631,Alissa,Manhattan,Kips Bay,40.73912,-73.9825,Entire home/apt,300,1,0,NA,NA,1,0,5.703782474656201
1151343,Large  room in 2/1 on park w/2day discounts,4910820,Alex,Manhattan,Harlem,40.80449,-73.95687,Private room,90,1,30,2019-07-05,0.4,1,218,4.499809670330265
34501725,Light-filled loft with greenhouse and terrace,16903474,Deborah,Manhattan,Chelsea,40.74894,-73.99466,Entire home/apt,280,21,0,NA,NA,1,219,5.634789603169249
7122588,Cheap NYC APT! 20 Day Stay!,33002613,Preston,Manhattan,Washington Heights,40.8347,-73.94413,Private room,40,10,0,NA,NA,1,0,3.6888794541139363
154934,Harlem/Hamilton Heights Cozy Room,745069,Kimberly,Manhattan,Harlem,40.82426,-73.9463,Private room,80,3,38,2018-05-08,0.42,3,365,4.382026634673881
6738207,Heart of Lower East Side,8965532,Claire,Manhattan,Lower East Side,40.71937,-73.99098,Entire home/apt,120,1,11,2017-06-29,0.27,1,0,4.787491742782046
22232444,Oversized 1BR in Doorman Building by Central Park,33610939,Ishaan,Manhattan,Morningside Heights,40.80486,-73.9656,Private room,200,2,0,NA,NA,1,0,5.298317366548036
19163361,Tourist Private Room of New York City,132559039,Elvira,Manhattan,Harlem,40.82664,-73.94814,Private room,60,2,38,2019-06-21,1.71,1,13,4.0943445622221
11904191,Spacious Harlem Brownstone apartment,63499716,Vanessa,Manhattan,Harlem,40.80678,-73.94976,Entire home/apt,180,4,130,2019-07-03,3.33,1,53,5.19295685089021
29957848,Beautiful UWS Apt. \\ 4 mins from Central Park,74595855,Alon,Manhattan,Upper West Side,40.77951,-73.97765,Entire home/apt,200,5,3,2019-05-26,0.49,1,0,5.298317366548036
26041591,"Private room in beautiful 3 bdr, off Riverside Dr",33996519,Isabella,Manhattan,Harlem,40.82291,-73.95612,Private room,50,13,0,NA,NA,1,5,3.912023005428146
30882745,Luxury Studio In Heart of Manhattan,141720257,Mayur,Manhattan,Financial District,40.71074,-74.00627,Entire home/apt,150,30,0,NA,NA,1,0,5.0106352940962555
12953234,Sofa Bed Available in Midtown Manhattan,3664485,Arnie,Manhattan,Hell's Kitchen,40.76455,-73.99128,Shared room,30,3,0,NA,NA,1,0,3.4011973816621555
4936023,Nice studio in Midtown Manhattan,8183266,Zahid,Manhattan,Midtown,40.75462,-73.96869,Entire home/apt,100,2,168,2019-06-16,3.1,1,46,4.605170185988092
1469895,Bright and Spacious West Village Studio,6263540,Adam,Manhattan,West Village,40.73695,-74.00572,Entire home/apt,150,5,3,2018-01-01,0.13,1,0,5.0106352940962555
29225254,Clever Midtown West 1BR w/ Gym + Doorman by Blueground,107434423,Blueground,Manhattan,Hell's Kitchen,40.76125,-73.99546,Entire home/apt,260,30,1,2019-01-10,0.17,232,187,5.560681631015528
9692740,Convenient apartment in Manhattan,50013026,Abby,Manhattan,Upper West Side,40.80012,-73.96441,Private room,50,1,2,2015-12-04,0.05,1,0,3.912023005428146
16338348,Entire 1 Bedroom Apt with Great Light & Vibes :),106951556,Meli And Daniel,Manhattan,Chinatown,40.71489,-73.99438,Entire home/apt,130,7,11,2018-10-30,0.35,1,188,4.867534450455582
8356955,Find Serenity in this Harlem Studio,30460662,Gabrielle-Renée,Manhattan,Harlem,40.82117,-73.94306,Entire home/apt,90,2,11,2017-12-12,0.25,1,0,4.499809670330265
21993232,"LOCATION, LOCATION, LOCATION!",129577022,Amanda,Manhattan,Kips Bay,40.74421,-73.98007,Entire home/apt,200,3,2,2018-01-01,0.1,1,0,5.298317366548036
19247214,Spacious Bedroom in Full Floor East Village Apt,134613498,Adonis,Manhattan,East Village,40.72717,-73.98643,Private room,180,1,28,2019-06-24,1.17,7,328,5.19295685089021
33909511,Executive room for professional.,1709718,Victoria,Manhattan,Midtown,40.7651,-73.97808,Private room,200,1,1,2019-04-29,0.42,2,350,5.298317366548036
6364324,The Oasis.,33106693,Elena,Manhattan,Harlem,40.82159,-73.95013,Private room,20,2,43,2019-07-01,1.66,3,154,2.995732273553991
22770827,2 bedroom in a prewar building,19962052,Thikshan,Manhattan,Gramercy,40.73684,-73.98157,Entire home/apt,200,2,20,2019-05-07,1.17,3,20,5.298317366548036
34207823,Time Square South  - Clean Triple Hotel Room,252604696,Erin,Manhattan,Chelsea,40.75064,-73.99626,Private room,220,1,4,2019-07-04,1.82,20,356,5.393627546352362
26304847,Sound Bath Sanctuary I Manhattan,7217937,Joule,Manhattan,Inwood,40.86764,-73.9259,Private room,50,2,17,2019-06-18,1.54,2,243,3.912023005428146
276482,Comfortable Manhattanville.,305972,Allan,Manhattan,Harlem,40.81371,-73.95585,Private room,80,6,130,2019-06-02,1.42,2,97,4.382026634673881
17458077,Studio Apartment in a Doorman Building,2610519,Michael,Manhattan,Flatiron District,40.74252,-73.991,Entire home/apt,250,1,2,2017-03-27,0.07,1,0,5.521460917862246
24943768,Luxurious Suite Grand Central,168465501,Ian,Manhattan,Murray Hill,40.74929,-73.97827,Entire home/apt,150,30,3,2018-11-23,0.27,4,113,5.0106352940962555
4194010,Idealistic Inwood,21759005,Alaina,Manhattan,Inwood,40.86496,-73.9262,Entire home/apt,100,3,15,2018-01-02,0.27,1,0,4.605170185988092
17979764,Jen Apt,84497333,Jennifer,Manhattan,SoHo,40.72237,-73.99817,Private room,10,5,2,2017-04-15,0.07,1,0,2.302585092994046
21978558,Luxury Modern Apartment by Central Park,21657795,Musa,Manhattan,Harlem,40.8029,-73.95576,Entire home/apt,100,3,1,2017-12-08,0.05,1,0,4.605170185988092
23749162,West Village Paradise - Large 1 bedroom,6989615,Emanuel,Manhattan,West Village,40.74069,-74.00546,Entire home/apt,180,3,18,2019-06-09,1.13,1,175,5.19295685089021
36311334,Amazing 2 Bedrooms with a HUGE living room!!,25585857,Lukas,Manhattan,Upper East Side,40.78324,-73.94734,Entire home/apt,280,6,0,NA,NA,1,73,5.634789603169249
19932802,Private Bedroom West Village Greenwich Apartment,45399737,Esther,Manhattan,Greenwich Village,40.7292,-73.99964,Private room,150,2,0,NA,NA,1,48,5.0106352940962555
28250999,Newly Decorated Harlem Haven,211973888,Tj,Manhattan,Harlem,40.81773,-73.94357,Entire home/apt,80,4,8,2019-06-29,0.88,1,69,4.382026634673881
6947017,Private room. Amazing location!,35968845,Andre,Manhattan,Upper West Side,40.79421,-73.97097,Private room,90,3,1,2015-07-26,0.02,2,0,4.499809670330265
35196057,Beautiful Renovated Duplex in Historic Townhouse,187671321,Alan,Manhattan,Harlem,40.81868,-73.94417,Entire home/apt,300,2,1,2019-06-26,1,1,123,5.703782474656201
28314689,Brand New 3-Bedroom in Trendy L.E.S. #10296,213618380,Carol,Manhattan,Lower East Side,40.71935,-73.98361,Entire home/apt,600,2,33,2019-07-05,3.46,1,280,6.396929655216146
21678587,Harlem Gem,42141935,Valerie,Manhattan,East Harlem,40.80834,-73.94049,Entire home/apt,90,1,2,2018-01-01,0.11,1,0,4.499809670330265
32808795,Unique West Village Loft,27559933,Ben,Manhattan,West Village,40.73283,-74.00734,Entire home/apt,300,2,7,2019-06-04,2.44,1,104,5.703782474656201
22760853,Zen 1 bedroom near Central Park+MET+Guggenheim,10385345,Christopher,Manhattan,Upper East Side,40.77862,-73.94562,Entire home/apt,100,14,6,2019-06-12,1.94,1,0,4.605170185988092
30429113,Minimalist Studio in Central Downtown,17040751,Jaisy,Manhattan,Civic Center,40.71224,-74.00684,Entire home/apt,150,90,0,NA,NA,1,0,5.0106352940962555
6644669,1 bedroom Upper West Side apartment,34779392,Joseph,Manhattan,Upper West Side,40.77689,-73.98103,Entire home/apt,140,5,8,2019-05-18,0.16,1,0,4.941642422609304
6991749,NO LONGER AVAILABLE,16978260,Dominque,Manhattan,Harlem,40.81161,-73.94306,Shared room,70,1,0,NA,NA,1,365,4.248495242049359
5728014,Cozy & Quiet 1 BR - Lincoln Center,29698290,Allie,Manhattan,Upper West Side,40.77655,-73.98074,Entire home/apt,200,3,9,2019-01-01,0.19,1,0,5.298317366548036
36242888,Upper East Site Luxury 2 Bed rooms,12579773,Jean-Nicolas,Manhattan,Upper East Side,40.76996,-73.95117,Private room,220,4,1,2019-07-03,1,1,15,5.393627546352362
21272115,Visit the Big Apple! Mini-MOMA. Enjoy all of NYC!,68557372,Shannon,Manhattan,Harlem,40.80674,-73.95337,Private room,80,1,60,2019-06-27,3.25,2,182,4.382026634673881
7808356,U.E.S 1 Bedroom Spacious Apartment,17141160,Brian,Manhattan,Upper East Side,40.78086,-73.95029,Entire home/apt,130,4,0,NA,NA,1,0,4.867534450455582
35579436,The Artist's Loft,194369832,Adam,Manhattan,East Village,40.72347,-73.97792,Entire home/apt,200,2,1,2019-06-26,1,1,43,5.298317366548036
27216202,A CLASSIC NYC NEIGHBORHOOD-EAST 86TH/5TH AVENUE,200380610,Pranjal,Manhattan,Upper East Side,40.78009,-73.95929,Entire home/apt,200,30,0,NA,NA,65,364,5.298317366548036
3920562,Large & Beautiful Manhattan NYC,16715941,Ian,Manhattan,East Harlem,40.79882,-73.94266,Private room,90,1,295,2019-06-27,4.99,2,155,4.499809670330265
31861671,Hamilton Loft. 2Queen. priv bath. full kitchen,238750007,Hamilton,Manhattan,Harlem,40.82163,-73.94757,Entire home/apt,140,4,17,2019-07-01,3.09,3,265,4.941642422609304
28010820,Bedroom on UES,2878510,Ahmet,Manhattan,Upper East Side,40.77353,-73.95357,Private room,100,3,10,2019-06-09,0.99,1,14,4.605170185988092
19413230,2 bedroom flat in Greenwich Village New York,136098610,Lydia,Manhattan,West Village,40.73247,-74.00335,Entire home/apt,220,2,54,2019-06-20,2.22,1,79,5.393627546352362
6977204,Private Room in Very Convenient Location,687062,Sarah,Manhattan,Harlem,40.81398,-73.95213,Private room,60,1,142,2019-06-21,4.22,1,93,4.0943445622221
21682924,Spacious Escape in the Heart of Greenwich Village,647100,Kevin,Manhattan,Greenwich Village,40.73247,-73.99998,Private room,130,3,11,2018-07-16,0.55,1,0,4.867534450455582
8191699,Studio near Central Park.,13184549,Mila,Manhattan,Upper East Side,40.77569,-73.95202,Entire home/apt,140,7,3,2016-08-14,0.06,1,0,4.941642422609304
11658950,Huge King Size Room in East Village,21382844,Imran,Manhattan,Gramercy,40.73458,-73.98128,Private room,100,1,5,2017-04-23,0.16,1,0,4.605170185988092
34544052,"LYRIC - 1 Bedroom Executive Suite, 2 Bath, Kitchen",197053492,Lyric At 70 Pine,Manhattan,Financial District,40.70512,-74.00719,Entire home/apt,310,1,0,NA,NA,8,325,5.736572297479192
2033846,"Boutique Hip Hotel Feel, WiFi, NetFlix, Private",667627,Marvin,Manhattan,Harlem,40.81728,-73.94583,Entire home/apt,100,4,72,2019-05-19,1.1,1,11,4.605170185988092
13248583,Spacious & cozy room in trendy SoHa !,3097033,Aida,Manhattan,Harlem,40.80304,-73.95148,Private room,60,2,50,2019-06-24,1.39,2,15,4.0943445622221
12358495,Beautiful 1 bed Apt in Midtown!,16596850,Robby,Manhattan,Midtown,40.75761,-73.96217,Entire home/apt,300,1,0,NA,NA,1,0,5.703782474656201
4533010,Spacious Manhattan One Bedroom Apt,23503432,Luke,Manhattan,Washington Heights,40.8552,-73.93354,Entire home/apt,80,1,150,2019-06-28,2.68,1,35,4.382026634673881
19138212,Super Sunny & Stylish Soho Loft,9374970,Barrett,Manhattan,SoHo,40.72486,-74.00318,Entire home/apt,250,28,11,2018-09-28,0.48,1,151,5.521460917862246
30352862,Comfy and Artsy Big Room in EAST VILLAGE,64934891,Scarlett,Manhattan,East Village,40.7219,-73.97819,Private room,70,3,0,NA,NA,1,0,4.248495242049359
30405178,Luxury Apartment in Midtown West,51937277,Jessica,Manhattan,Hell's Kitchen,40.75399,-73.99764,Entire home/apt,240,2,14,2019-05-26,1.89,1,93,5.480638923341991
15067291,Manhattan Private Room with a Garden view (Room 2),45913415,Grisula,Manhattan,Harlem,40.8117,-73.94563,Private room,60,3,97,2019-07-05,2.9,2,272,4.0943445622221
24201129,Bright & Cozy Studio in PRIME Flatiron/Chelsea,25635056,Christina,Manhattan,Chelsea,40.73836,-73.99567,Entire home/apt,250,2,12,2019-06-06,1.33,1,7,5.521460917862246
13128992,UpperEastSide Sun Drenched 2 Bedrooms Close to All,8687162,Pinar,Manhattan,Upper East Side,40.77847,-73.95371,Entire home/apt,140,15,0,NA,NA,1,0,4.941642422609304
21595314,Chic Midtown Apt w/ Empire State Building Views,121943616,Amani,Manhattan,Murray Hill,40.74791,-73.97939,Entire home/apt,380,3,0,NA,NA,1,0,5.940171252720432
21483857,East 63rd street 1bd Serviced Apartment,22541573,Ken,Manhattan,Upper East Side,40.76369,-73.96122,Entire home/apt,200,30,1,2018-04-22,0.07,87,364,5.298317366548036
22296097,Chelsea Gallery Space for events and exhibitions,3750764,Kevin,Manhattan,Chelsea,40.74913,-74.00373,Private room,3210,1,0,NA,NA,6,364,8.07402621612406
4736912,Room in Manhattan (Upper West Side),24454737,Umberto,Manhattan,Morningside Heights,40.81088,-73.95774,Private room,50,14,1,2015-01-08,0.02,1,0,3.912023005428146
9576478,Angelina,49572701,Vitaliy,Manhattan,Harlem,40.80948,-73.94739,Entire home/apt,240,3,69,2019-06-11,1.61,1,226,5.480638923341991
19719874,Studio - West Village - Unit 1,4422523,Marie,Manhattan,West Village,40.73598,-74.00505,Entire home/apt,140,30,1,2018-08-06,0.09,6,267,4.941642422609304
29287515,Upper East Side Family Apartment,213586067,John,Manhattan,Upper East Side,40.78108,-73.95439,Entire home/apt,220,3,0,NA,NA,1,0,5.393627546352362
1885826,LOFT-CentralPrk/TimeSq/TheaterDist1,32704,LoftMidtownNYC,Manhattan,Hell's Kitchen,40.76296,-73.98641,Private room,120,4,108,2019-06-23,1.69,1,285,4.787491742782046
2727766,Convenient Private Room in Spanish Harlem (SpaHa),4992804,Zachary,Manhattan,East Harlem,40.79121,-73.94793,Private room,80,2,1,2014-04-17,0.02,1,0,4.382026634673881
36241854,Union Square Private Apt,272596313,David Bruce,Manhattan,Gramercy,40.7358,-73.99074,Entire home/apt,150,7,0,NA,NA,1,29,5.0106352940962555
29884003,Great Room next to Empire State Building w/ROOFTOP,11907194,Thomas,Manhattan,Midtown,40.74992,-73.98772,Private room,110,2,8,2019-07-07,1.06,1,0,4.700480365792417
23890947,"106th and Amsterdam open, spacious apartment!",24033115,Jessica,Manhattan,Upper West Side,40.802,-73.96605,Private room,70,1,5,2019-06-30,0.41,1,32,4.248495242049359
34592979,"Dreamy Nolita 1BR w/ W/D, Heated Bathroom, above SoHo cafe, by Blueground",107434423,Blueground,Manhattan,Nolita,40.72399,-73.99426,Entire home/apt,310,30,0,NA,NA,232,341,5.736572297479192
8719522,Charming Upper East Side apt,2610741,Olivia,Manhattan,Upper East Side,40.775,-73.95071,Entire home/apt,190,2,26,2019-07-01,0.58,1,42,5.247024072160486
1864757,3+ Bedroom Steps to Park Avenue,194918,David,Manhattan,Upper East Side,40.77585,-73.95566,Entire home/apt,600,3,46,2019-05-27,0.67,1,210,6.396929655216146
23461056,Duke Ellington Studio,11262267,Fabio,Manhattan,Upper West Side,40.80309,-73.96883,Shared room,80,1,0,NA,NA,1,350,4.382026634673881
13542938,"East 58th Street, Lux Svcd 1bd Apt",22541573,Ken,Manhattan,Midtown,40.75724,-73.96384,Entire home/apt,240,30,0,NA,NA,87,280,5.480638923341991
9861196,Luxury 1-Bedroom Apartment in Midtown Gym+Pool,30283594,Kara,Manhattan,Theater District,40.76105,-73.98638,Entire home/apt,240,30,1,2018-04-28,0.07,121,363,5.480638923341991
25860068,JULY SALE ! PRIVATE ROOM UPPER EAST SIDE NYC,23827868,Gal,Manhattan,Upper East Side,40.77655,-73.94651,Private room,60,21,2,2018-12-29,0.25,1,131,4.0943445622221
3601900,Cozy Private Room in the heights!,18147523,Carli,Manhattan,Washington Heights,40.84943,-73.93146,Private room,50,1,14,2018-01-01,0.23,1,0,3.912023005428146
